name,characteristics,"('Рубашка Katty Po', 584005427)","('Блузка', 560122531)","('Рубашка ТВОЕ', 509374399)","('Рубашка Mechtay', 318949926)","('Блузка ТВОЕ', 522888237)","('Рубашка Katty Po', 407602001)","('Рубашка Pretty Woman Co', 450787103)","('Блузка ТВОЕ', 522888290)","('Рубашка Vintage Стиль. Бестселлеры', 639945267)","('Блузка Cosagach', 319199736)","('Рубашка PARETO', 410665541)","('Рубашка PARETO', 313496441)","('Рубашка ТВОЕ', 509374321)","('Блузка SPARADA', 356548885)","('Рубашка Весь мир моды', 535972636)","('Рубашка Trendy Truth oversize', 292189564)","('Рубашка Fashion AnastatioN', 565219382)","('Рубашка Pretty Woman Co', 451206612)","('Блузка Planestetica', 481656925)","('Рубашка ТВОЕ', 509374491)","('Рубашка TRENDY.wear', 622100403)","('Рубашка', 617901120)","('Блузка Finn Flare', 590912111)","('Рубашка OVS', 348032843)","('Блузка GismoTop Одежда для женщин', 589725070)","('Блузка SPARADA', 343607572)","('Блузка DStrend', 598759612)","('Блузка DStrend', 598757615)","('Рубашка PN Market', 511272407)","('Рубашка ТВОЕ', 309090741)","('Рубашка Margo VITA', 607090881)","('Рубашка MirrorStore', 192712454)","('Рубашка', 617893591)","('Рубашка ТВОЕ', 509374453)"
"('Рубашка Katty Po', 584005427)","{'description': 'женская удлиненная рубашка оверсайз давно стала базовым элементом гардероба. благодаря свободному крою однотонная вельветовая рубашка будет эффектно смотреться на любой фигуре. большие размеры подойдут для беременных. рубашка женская оверсайз выполнена из мягкого вельвета, в составе которого 95% хлопок и 5% эластан. благодаря натуральному составу, oversize рубашка невероятно комфортна. рубашка теплая, при этом легкая и не сминается в процессе носки. спереди рубашка женская длинная застёгивается на пуговицы, имеются манжеты, один нагрудный карман и воротник. универсальность рубашки позволяет вписать ее в образ для офиса и школы, а так же в спортивный и casual стиль. если вы искали подарок для женщины, подарок девушке, жене, маме, сестре, то рубашка из вельвета прекрасно для этого подойдет. рубашка с длинным рукавом в стиле оверсайз дополнит любой повседневный образ. почувствуйте, как комфортна одежда для женщин от бренда katty po ', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': '160-180', 'Стиль': 'Повседневный', 'Размер товара на фото': '42', 'Рост модели на фото': '170 см', 'Параметры модели на фото': '89, 63, 91/170/42', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Katty Po', 'Российский размер': '42', 'Пол': 'Женский', 'Страна-изготовитель': 'Киргизия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'Машинная стирка при 30 градусах', 'Материал подклада/внутренней отделки': 'Хлопок', 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'S', 'Длина изделия, см': '77', 'Длина рукава внешняя, см': 55.0, 'Цвет': 'Песочный ', 'Длина рукава по внутреннему шву, см': 50.0, 'Материал': ""['вельвет', 'хлопок', 'Вельвет', '95% хлопок, 5% эластан']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",100.0,27.59,50.0,43.1,43.1,48.28,37.93,41.38,48.28,13.79,31.03,31.03,50.0,13.79,41.38,43.1,46.55,37.93,27.59,50.0,29.31,29.31,27.59,18.97,31.03,13.79,3.45,3.45,31.03,41.38,44.83,31.03,41.38,34.48
"('Блузка', 560122531)","{'description': 'легкая, универсальная женская блузка выполнена из мягкой струящейся ткани. сохраняет форму и посадку даже после многочисленных стирок. разбавьте свой гардероб стильной блузкой, которая будет уместна в офисе, в учебном заведении и на торжественном мероприятии. трендовая модель подарит вам отличное настроение и поможет создать актуальный образ, а так же сделает вашу покупку приятной.', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': 'Классический', 'Размер товара на фото': '44', 'Рост модели на фото': '165 см', 'Параметры модели на фото': '87-61-93', 'Тип': 'Блузка', 'Бренд в одежде и обуви': nan, 'Российский размер': '48', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'Бережная стирка;Деликатный отжим', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': 'Без застежки', 'Длина рукава': 'Без рукавов', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': '48', 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Черный', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['туаль', 'лен', 'Полиэстер', 'эластан 5%, полиэстер 95%']"", 'Количество в упаковке': 1.0, 'Детали': 'Воротник', 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",27.59,100.0,25.86,25.86,31.03,15.52,24.14,31.03,34.48,12.07,17.24,17.24,25.86,36.21,29.31,27.59,37.93,37.93,34.48,25.86,13.79,13.79,34.48,10.34,24.14,22.41,12.07,12.07,17.24,27.59,31.03,17.24,27.59,12.07
"('Рубашка ТВОЕ', 509374399)","{'description': 'рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, без принта, вырез: рубашечный воротник.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': 'Повседневный', 'Размер товара на фото': '44', 'Рост модели на фото': '172 см', 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'ТВОЕ', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Бангладеш', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'стирка при t не более 30С; щадящий режим отжима', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'S', 'Длина изделия, см': '81.5', 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', '100% Хлопок', 'лен', 'хлопок']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",50.0,25.86,100.0,37.93,53.45,34.48,46.55,85.92,39.66,29.31,27.59,25.86,75.86,10.34,46.55,44.83,48.28,32.76,22.41,90.85,25.86,31.03,32.76,22.41,43.1,10.34,22.41,20.69,25.86,63.79,39.66,41.38,56.9,48.28
"('Рубашка Mechtay', 318949926)","{'description': 'классическая женская рубашка оверсайз (блузка белая женская) - стильное сочетание как строгого стиля с костюмом, брюками или галстуком, так и повседневного базового с джинсами или легинсами, юбкой или баской, с топом или корсетом, под свитер или жилетку.<br/><br/>длинный свободный рукав, классический воротник, застежки из пуговиц - основа базового женского гардероба и вашего лука на каждый день. стиль oversize (блузка белая оверсайз) - тренд 2021 года.<br/><br/>при бережной стирке рубашка не меняет свои свойства.<br/><br/>классическая женская рубашка (блузка женская однотонная с длинным рукавом) - незаменимая часть офисного гардероба девушки, удлиненная для комфортной носки.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2021', 'Рост': '160-180', 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '170 см', 'Параметры модели на фото': 'S', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Mechtay', 'Российский размер': '40', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'Стирка при температуре не более 30 градусов', 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': nan, 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Блистер', 'Размер производителя': 'XS', 'Длина изделия, см': '62', 'Длина рукава внешняя, см': 48.0, 'Цвет': 'Белый, светло-серый', 'Длина рукава по внутреннему шву, см': 26.0, 'Материал': ""['Поплин', 'хлопок - 100% ']"", 'Количество в упаковке': 1.0, 'Детали': 'Манжеты', 'Вид спорта': 'Танцы', 'Серия в одежде и обуви': nan}",43.1,25.86,37.93,100.0,31.03,27.59,37.93,31.03,48.28,15.52,29.31,27.59,39.66,10.34,39.66,43.1,41.38,37.93,22.41,39.66,32.76,27.59,27.59,15.52,22.41,10.34,5.17,5.17,27.59,37.93,41.38,29.31,44.83,24.14
"('Блузка ТВОЕ', 522888237)","{'description': 'блузка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день. блузка, 100% хлопок, крой: cropped oversize, без принта.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': 'Повседневный', 'Размер товара на фото': nan, 'Рост модели на фото': nan, 'Параметры модели на фото': '178 см', 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'ТВОЕ', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Китай', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'стирка при t не более 30С; щадящий режим отжима', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'S', 'Длина изделия, см': '54', 'Длина рукава внешняя, см': nan, 'Цвет': 'Голубой', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['лен', 'хлопок', 'Хлопок', '100% Хлопок']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",43.1,31.03,53.45,31.03,100.0,27.59,25.86,62.07,32.76,22.41,20.69,18.97,80.28,17.24,37.93,37.93,41.38,25.86,29.31,50.0,18.97,24.14,37.93,13.79,34.48,17.24,13.79,12.07,18.97,41.38,32.76,20.69,36.21,74.65
"('Рубашка Katty Po', 407602001)","{'description': 'пальто рубашки женские в клетку, куртки рубашки являются трендом уже не первый год и стали базовым элементом гардероба многих девушек и женщин. благодаря свободному крою утепленная рубашка женская в клетку будет эффектно смотреться на любой фигуре. спереди рубашка в клетку женская застёгивается на пуговицы, имеются манжеты, два кармана и воротник. рубашка куртка женская без подклада. оверсайз рубашка женская выполнена из приятной на ощупь ткани в составе которой 80% хлопка и 20% лавсана, что делает изделие теплым и износостойким. благодаря плотности ткани, мы рекомендуем использовать рубашку в качестве второго слоя, как куртку или пиджак на прохладное лето, позднюю весну или раннюю осень. женская рубашка теплая отлично смотрится с кроссовками, ботинками, а также подходит для любителей стиля спорт-шик. рубашка женская длинная в стиле оверсайз прекрасно дополнит любой повседневный образ. почувствуйте как комфортна одежда для женщин от бренда katty po', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': '160-180', 'Стиль': 'Повседневный', 'Размер товара на фото': '42', 'Рост модели на фото': '165 см', 'Параметры модели на фото': '87, 56, 88/165/42', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Katty Po', 'Российский размер': '50', 'Пол': 'Женский', 'Страна-изготовитель': 'Киргизия', 'Вид принта': 'Клетка', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'XL', 'Длина изделия, см': '73', 'Длина рукава внешняя, см': 60.0, 'Цвет': 'Розовый, коричневый, белый', 'Длина рукава по внутреннему шву, см': 50.0, 'Материал': ""['Драп', '80 % хлопок, 20% лавсан', 'лен']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",48.28,15.52,34.48,27.59,27.59,100.0,24.14,27.59,32.76,13.79,31.03,31.03,34.48,13.79,27.59,29.31,32.76,24.14,13.79,34.48,39.66,32.76,15.52,18.97,31.03,15.52,1.72,1.72,31.03,27.59,31.03,31.03,27.59,37.93
"('Рубашка Pretty Woman Co', 450787103)","{'description': nan, 'Сезон': 'Демисезон', 'Коллекция': 'Базовая коллекция', 'Рост': '164-178', 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '168 см', 'Параметры модели на фото': '83-61-90', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Pretty Woman Co', 'Российский размер': '40/44-158/176', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'Деликатная стирка при 30 градусах', 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': 'для беременных', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': '40,42,44', 'Длина изделия, см': '70', 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', 'хлопок 30%, вискоза 30%, полиэстер 20%']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': 'Спортивная ходьба', 'Серия в одежде и обуви': nan}",37.93,24.14,46.55,37.93,25.86,24.14,100.0,39.66,43.1,29.31,29.31,27.59,46.55,8.62,43.1,39.66,32.76,87.65,18.97,46.55,24.14,22.41,22.41,10.34,32.76,8.62,24.14,24.14,25.86,46.55,37.93,41.38,51.72,18.97
"('Блузка ТВОЕ', 522888290)","{'description': 'блузка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день. блузка, 100% хлопок, крой: cropped oversize, без принта.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': 'Повседневный', 'Размер товара на фото': nan, 'Рост модели на фото': nan, 'Параметры модели на фото': '178 см', 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'ТВОЕ', 'Российский размер': '46', 'Пол': 'Женский', 'Страна-изготовитель': 'Китай', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'стирка при t не более 30С; щадящий режим отжима', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'M', 'Длина изделия, см': '55', 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', '100% Хлопок', 'лен', 'хлопок']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",41.38,31.03,85.92,31.03,62.07,27.59,39.66,100.0,34.48,36.21,18.97,18.97,63.79,17.24,36.21,37.93,41.38,25.86,29.31,85.92,17.24,22.41,37.93,12.07,48.28,17.24,25.86,25.86,20.69,55.17,32.76,32.76,50.0,36.21
"('Рубашка Vintage Стиль. Бестселлеры', 639945267)","{'description': 'белая женская рубашка из 100% хлопка. <br/><br/>свободная рубашка с застежкой на пуговицы и слегка расширенным книзу силуэтом: вы можете носить ее как поверх футболок и кроп-топов, так и как базовый элемент гардероба. выполнена из прочного и мягкого хлопка средней плотности, который отлично держит форму и создает объем. крой рубашки oversize, такая свобода кроя не будет сковывать движения и смоделирует фигуру, если это необходимо. качество ткани позволит чувствовать себя легко и комфортно. <br/><br/>знойным летом или дождливой осенью, эта рубашка незаменимая вещь в гардеробе.', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': '160-180', 'Стиль': 'Классический', 'Размер товара на фото': '42', 'Рост модели на фото': '170 см', 'Параметры модели на фото': '89 х 63 х 90', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Vintage', 'Российский размер': '46', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': nan, 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'М', 'Длина изделия, см': '76', 'Длина рукава внешняя, см': 56.0, 'Цвет': 'Белый, белоснежный, мраморный, мягкий белый, белый иней', 'Длина рукава по внутреннему шву, см': 41.0, 'Материал': ""['Хлопок', 'Хлопок 100%']"", 'Количество в упаковке': 1.0, 'Детали': 'Воротник', 'Вид спорта': nan, 'Серия в одежде и обуви': 'Стиль. Бестселлеры'}",48.28,34.48,39.66,48.28,32.76,32.76,43.1,34.48,100.0,15.52,34.48,32.76,39.66,15.52,43.1,58.62,41.38,43.1,25.86,39.66,29.31,31.03,29.31,17.24,25.86,15.52,5.17,5.17,36.21,39.66,46.55,34.48,44.83,25.86
"('Блузка Cosagach', 319199736)","{'description': 'нарядная блузка в стиле бохо является базовой и отлично впишется в офисный, школьный и повседневный гардероб. большой размерный ряд от очень маленьких до больших размеров. гладкая фактура материла, хорошо держит форму, не мнется, хорошо отстирывается, легко гладится, благодаря своему составу из полиэстрера с добавлением натуральной ткани (вискозы). прямой крой, спущенная линий плеча, блузу украшают воланы. застежка на пуговицах, дополнительная пуговица находится на уходнике. чтобы подчеркнуть фигуру, можно носить в заправленном виде с брюками, джинсами, юбками, или же можно носить в расправленном виде для создания легкого и непринужденного образа.', 'Сезон': 'Лето', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '174 см', 'Параметры модели на фото': '82-62-90', 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'Cosagach', 'Российский размер': '40', 'Пол': 'Женский', 'Страна-изготовитель': nan, 'Вид принта': nan, 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': nan, 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Полиэстер', 'эластан 5%, вискоза 30%, полиэстер 65%', 'лен', 'вискоз']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",13.79,12.07,29.31,15.52,22.41,13.79,29.31,36.21,15.52,100.0,15.52,13.79,29.31,10.34,17.24,18.97,13.79,15.52,8.62,29.31,15.52,17.24,17.24,3.45,34.48,10.34,25.86,25.86,15.52,25.86,13.79,29.31,34.48,15.52
